University,Course,Department,Branch,Semester,CGPA,Interest,Mode_of_Study,Institution_Type,Location,Medium_of_Education,career_readiness
Amity University,BCA,IT,Data Science,8,5.05,Job,Distance,Private,Urban,English,0
Banaras Hindu University,BCA,IT,AI,4,6.06,Research,Online,Deemed,Semi-Urban,English,2
DIT University,MCA,IT,Data Science,7,9.16,Research,Regular,Deemed,Urban,English,2
MIT Manipal,M.Com,Commerce,Accounting,8,7.07,Teaching,Distance,Government,Urban,Hindi,0
IIT Indore,B.Tech Civil,Engineering,Computer Science,7,8.18,Teaching,Distance,Government,Urban,Regional,1
Stanford University,M.Sc Data Science,IT,Data Science,8,6.16,Job,Regular,Government,Rural,English,1
PES University,BCA,IT,Software,5,8.25,Research,Distance,Deemed,Urban,Hindi,0
Jadavpur University,LLB,Law,Criminal Law,5,10.0,Teaching,Online,Government,Urban,English,2
Galgotias University,Animation & VFX,Design,UI/UX,2,7.98,Research,Distance,Private,Rural,Hindi,0
Chandigarh University,B.Des UI/UX,General,General Studies,2,8.14,Teaching,Distance,Deemed,Rural,Hindi,0
IIT Delhi,B.Pharma,Medical,Dentistry,7,5.56,Teaching,Regular,Government,Semi-Urban,Regional,1
Rajasthan University,LLM,General,General Studies,7,7.02,Job,Regular,Deemed,Urban,Hindi,1
Galgotias University,B.Pharma,Medical,General Medicine,2,9.3,Research,Online,Private,Semi-Urban,English,1
IIT Hyderabad,B.Tech Electrical,Engineering,Electrical,3,9.17,Research,Distance,Private,Semi-Urban,Regional,0
IIT Delhi,M.Des Interaction,General,General Studies,8,7.61,Teaching,Online,Private,Urban,Regional,1
PES University,B.Des UI/UX,General,General Studies,5,9.52,Job,Distance,Government,Semi-Urban,English,1
IIT BHU,BA Psychology,Arts,History,2,5.71,Job,Distance,Government,Rural,English,0
Delhi University,B.Tech Civil,Engineering,Electrical,2,8.29,Job,Regular,Deemed,Rural,Regional,1
IIT Hyderabad,B.Pharma,Medical,General Medicine,4,6.24,Research,Online,Government,Urban,Hindi,0
Anna University,B.Tech Civil,Engineering,Computer Science,7,8.23,Teaching,Distance,Deemed,Semi-Urban,Regional,1
Aligarh Muslim University,Nursing,General,General Studies,6,5.44,Teaching,Distance,Government,Urban,Regional,0
PES University,BA English,Arts,English,2,9.72,Job,Regular,Private,Rural,English,1
Christ University,Animation & VFX,Design,Product Design,4,8.93,Job,Regular,Government,Urban,English,1
IIT Guwahati,M.Sc Data Science,IT,Data Science,1,6.0,Job,Regular,Government,Rural,English,1
Massachusetts Institute of Technology (MIT USA),LLM,General,General Studies,2,8.19,Research,Online,Government,Rural,Regional,0
Chandigarh University,PhD Research,Research,Interdisciplinary,6,8.8,Teaching,Online,Private,Rural,Regional,1
Madras University,LLB,Law,Criminal Law,4,6.05,Job,Distance,Deemed,Semi-Urban,English,0
IIT Bombay,B.Des UI/UX,General,General Studies,6,5.47,Job,Online,Government,Semi-Urban,Regional,1
Banaras Hindu University,MBA Finance,Management,Finance,2,6.76,Teaching,Regular,Private,Semi-Urban,English,1
IIT Roorkee,B.Arch,General,General Studies,1,5.68,Research,Regular,Government,Semi-Urban,Regional,0
Punjab University,MA Psychology,Arts,English,2,7.83,Research,Online,Government,Rural,Hindi,2
Symbiosis International University,BCA,IT,Software,4,7.12,Research,Distance,Private,Rural,English,0
IIT Delhi,B.Ed,Education,Teaching,1,7.31,Teaching,Distance,Government,Rural,Hindi,1
Rajasthan University,B.Ed,Education,Teaching,1,7.71,Research,Distance,Government,Semi-Urban,English,1
LPU Phagwara,MBA Marketing,Management,Finance,1,9.91,Job,Distance,Government,Urban,English,1
IIT Bombay,B.Tech Civil,Engineering,Civil,3,8.96,Research,Regular,Government,Urban,Regional,2
University of Hyderabad,B.Tech Mechanical,Engineering,Electrical,4,8.15,Teaching,Online,Government,Semi-Urban,English,1
VIT Vellore,M.Com,Commerce,Accounting,3,6.82,Research,Regular,Private,Semi-Urban,Hindi,0
Amity University,PhD Research,Research,Interdisciplinary,6,5.14,Teaching,Distance,Private,Semi-Urban,Hindi,2
IIT Delhi,M.Tech AI,Engineering,Civil,1,5.58,Teaching,Distance,Government,Semi-Urban,Regional,0
Jamia Millia Islamia,BCA,IT,Software,3,8.65,Research,Regular,Government,Rural,English,2
Galgotias University,B.Tech Electronics,Engineering,Computer Science,2,6.85,Job,Distance,Deemed,Semi-Urban,English,0
IIT Indore,BCA,IT,Data Science,3,6.67,Teaching,Regular,Private,Rural,Regional,1
Ashoka University,Mass Communication,Commerce,Accounting,5,9.44,Research,Regular,Government,Semi-Urban,English,2
Bennett University,Cyber Security Specialization,General,General Studies,6,7.42,Teaching,Regular,Deemed,Rural,English,1
IIT Madras,MBA Marketing,Management,HR,1,9.5,Research,Regular,Private,Rural,Hindi,2
OP Jindal Global University,PhD Research,Research,Interdisciplinary,1,9.43,Job,Distance,Deemed,Rural,Hindi,0
IFTM University,B.Arch,General,General Studies,7,5.4,Teaching,Distance,Deemed,Semi-Urban,Hindi,0
Jadavpur University,LLB,Law,Criminal Law,8,9.73,Job,Distance,Government,Rural,Hindi,1
Osmania University,LLB,Law,Corporate Law,6,5.38,Job,Online,Government,Semi-Urban,English,1
Thapar University,Nursing,General,General Studies,6,9.82,Job,Regular,Private,Rural,English,2
University of Mumbai,MA Psychology,Arts,History,4,7.26,Job,Online,Deemed,Rural,Hindi,0
DIT University,Mass Communication,Commerce,Banking,2,8.8,Job,Regular,Deemed,Semi-Urban,English,1
SRM University,B.Tech Electronics,Engineering,Computer Science,7,8.53,Research,Regular,Government,Urban,Regional,1
Allahabad University,MA English,Arts,English,6,7.59,Job,Distance,Private,Semi-Urban,Regional,1
Lucknow University,BBA,Management,Marketing,7,8.1,Research,Regular,Government,Urban,English,0
Patna University,BA English,Arts,History,6,9.75,Job,Online,Private,Semi-Urban,English,2
Massachusetts Institute of Technology (MIT USA),LLM,General,General Studies,7,9.64,Job,Distance,Deemed,Rural,Hindi,1
LPU Phagwara,MA Psychology,Arts,Political Science,4,8.27,Teaching,Distance,Private,Semi-Urban,Hindi,0
Madras University,M.Tech AI,Engineering,Electrical,6,8.29,Research,Regular,Deemed,Urban,Regional,1
University of Mumbai,Mass Communication,Commerce,Accounting,3,6.23,Job,Distance,Private,Rural,English,0
Christ University,MBA HR,Management,Finance,5,9.14,Job,Online,Government,Semi-Urban,English,1
Bennett University,B.Des UI/UX,General,General Studies,5,8.16,Job,Regular,Government,Semi-Urban,Hindi,0
Aligarh Muslim University,MA Psychology,Arts,English,5,9.13,Research,Online,Government,Rural,English,1
Shiv Nadar University,MBA Marketing,Management,Finance,6,8.29,Research,Distance,Private,Urban,Hindi,1
Ashoka University,Cyber Security Specialization,General,General Studies,7,6.5,Research,Online,Deemed,Semi-Urban,Hindi,0
IFTM University,MBBS,Medical,General Medicine,5,5.95,Teaching,Online,Government,Urban,English,0
OP Jindal Global University,MBA HR,Management,Finance,2,5.38,Teaching,Distance,Private,Semi-Urban,Hindi,0
IIT Guwahati,MCA,IT,Data Science,3,7.93,Job,Regular,Private,Semi-Urban,Regional,2
Symbiosis International University,LLM,General,General Studies,5,6.42,Research,Regular,Government,Semi-Urban,Hindi,0
LPU Phagwara,LLM,General,General Studies,1,8.15,Research,Distance,Government,Urban,Regional,0
Stanford University,M.Com,Commerce,Accounting,6,5.29,Teaching,Regular,Government,Rural,English,0
VIT Vellore,B.Pharma,Medical,General Medicine,3,6.88,Job,Online,Government,Semi-Urban,English,0
University of Oxford,M.Sc Data Science,IT,AI,2,6.3,Research,Distance,Private,Rural,English,0
Teerthanker Mahaveer University (TMU),B.Arch,General,General Studies,5,6.85,Research,Distance,Deemed,Semi-Urban,English,0
Amrita University,Animation & VFX,Design,UI/UX,2,5.27,Job,Regular,Deemed,Semi-Urban,English,0
BITS Pilani,LLB,Law,Corporate Law,6,8.62,Teaching,Regular,Private,Urban,Hindi,1
IIT Bombay,B.Pharma,Medical,Dentistry,5,5.58,Teaching,Distance,Deemed,Rural,English,0
IIT Bombay,BA English,Arts,Political Science,1,5.07,Research,Distance,Private,Rural,English,0
Madras University,Hotel Management,Management,Finance,3,9.73,Job,Distance,Private,Urban,English,1
Teerthanker Mahaveer University (TMU),Animation & VFX,Design,UI/UX,7,5.96,Job,Distance,Private,Rural,Regional,0
Jadavpur University,MBBS,Medical,General Medicine,1,9.14,Job,Online,Deemed,Semi-Urban,Hindi,1
Galgotias University,LLB,Law,Corporate Law,5,9.82,Research,Online,Private,Semi-Urban,English,1
Lucknow University,B.Tech Computer Science,Engineering,Electrical,4,7.67,Teaching,Distance,Private,Rural,English,1
Amity University,B.Tech Electrical,Engineering,Civil,8,7.63,Teaching,Distance,Government,Rural,Hindi,0
IIT BHU,B.Tech Electrical,Engineering,Electrical,3,6.84,Teaching,Distance,Government,Rural,Regional,0
Graphic Era University,MBBS,Medical,General Medicine,2,7.13,Teaching,Online,Deemed,Urban,English,0
BITS Pilani,B.Tech Electrical,Engineering,Mechanical,5,7.41,Teaching,Regular,Government,Rural,Regional,0
Stanford University,B.Sc Data Science,IT,AI,1,5.76,Research,Online,Government,Rural,Hindi,0
Harvard University,PhD Research,Research,Interdisciplinary,6,6.82,Research,Distance,Government,Semi-Urban,English,0
Massachusetts Institute of Technology (MIT USA),B.Tech Electrical,Engineering,Computer Science,7,9.08,Teaching,Distance,Private,Urban,Hindi,1
Christ University,B.Tech Electronics,Engineering,Computer Science,4,5.91,Teaching,Distance,Government,Rural,English,1
Shiv Nadar University,B.Des UI/UX,General,General Studies,7,8.65,Research,Distance,Deemed,Rural,English,1
University of Oxford,M.Com,Commerce,Accounting,6,8.26,Teaching,Online,Private,Urban,English,1
MIT Manipal,LLM,General,General Studies,5,5.29,Teaching,Regular,Deemed,Semi-Urban,English,0
Patna University,MCA,IT,Software,8,5.11,Teaching,Distance,Deemed,Urban,Hindi,2
Chandigarh University,Hotel Management,Management,Finance,2,6.76,Job,Distance,Deemed,Semi-Urban,English,1
Amrita University,M.Com,Commerce,Banking,1,8.46,Teaching,Distance,Deemed,Rural,Regional,0
Manipal Institute of Technology,B.Tech Electronics,Engineering,Electrical,3,6.65,Job,Regular,Deemed,Rural,English,2
Madras University,M.Com,Commerce,Banking,4,8.34,Teaching,Online,Government,Urban,Hindi,0
Thapar University,BCA,IT,Software,5,8.33,Teaching,Regular,Government,Rural,Regional,0
IISc Bangalore,B.Tech Computer Science,Engineering,Computer Science,5,9.03,Research,Online,Deemed,Urban,English,2
IIT Kanpur,B.Sc Data Science,IT,Software,5,5.5,Research,Distance,Deemed,Urban,Hindi,0
Thapar University,MA English,Arts,Political Science,5,7.89,Research,Regular,Government,Urban,Hindi,0
Manipal Institute of Technology,B.Tech Civil,Engineering,Computer Science,1,5.31,Job,Regular,Deemed,Rural,English,0
IIT Madras,M.Des Interaction,General,General Studies,3,5.88,Job,Distance,Government,Semi-Urban,Regional,0
IIT Madras,Nursing,General,General Studies,2,6.63,Teaching,Regular,Deemed,Rural,Hindi,1
UPES Dehradun,M.Sc Data Science,IT,Data Science,4,8.54,Job,Distance,Deemed,Semi-Urban,Hindi,0
Banaras Hindu University,B.Sc Data Science,IT,Data Science,7,9.87,Research,Distance,Private,Semi-Urban,Regional,1
Calcutta University,MBA Marketing,Management,Marketing,8,6.71,Job,Online,Deemed,Semi-Urban,English,1
Rajasthan University,B.Des UI/UX,General,General Studies,5,7.61,Teaching,Online,Private,Rural,English,1
IIT Hyderabad,BA English,Arts,Political Science,6,6.3,Job,Distance,Deemed,Semi-Urban,English,1
University of Oxford,BCA,IT,Software,5,8.38,Research,Distance,Private,Rural,English,1
Aligarh Muslim University,M.Com,Commerce,Banking,3,6.83,Teaching,Regular,Government,Rural,Regional,0
Madras University,MA Psychology,Arts,History,3,7.41,Job,Distance,Deemed,Urban,Hindi,0
Ashoka University,M.Des Interaction,General,General Studies,8,7.84,Teaching,Distance,Government,Rural,English,1
Bennett University,B.Tech Electronics,Engineering,Civil,1,8.43,Teaching,Regular,Private,Rural,Hindi,0
UPES Dehradun,M.Tech AI,Engineering,Mechanical,1,5.3,Job,Distance,Private,Rural,Hindi,0
SRM University,Nursing,General,General Studies,6,7.77,Teaching,Distance,Private,Rural,Regional,0
Punjab University,B.Tech Electronics,Engineering,Computer Science,6,7.16,Job,Online,Private,Semi-Urban,Hindi,0
IIT BHU,B.Tech Mechanical,Engineering,Electrical,1,5.67,Research,Distance,Government,Semi-Urban,English,0
DIT University,LLB,Law,Corporate Law,4,6.04,Research,Distance,Private,Rural,Hindi,0
DIT University,MA English,Arts,English,6,9.42,Job,Regular,Deemed,Rural,English,2
LPU Phagwara,MBA Finance,Management,HR,1,9.36,Job,Online,Private,Urban,English,1
IIT Kharagpur,BA English,Arts,Political Science,5,5.17,Teaching,Online,Government,Semi-Urban,English,0
BIT Mesra,B.Com,Commerce,Accounting,1,8.45,Job,Distance,Government,Rural,Hindi,1
Amrita University,BCA,IT,Data Science,7,7.77,Teaching,Online,Deemed,Urban,Regional,0
Graphic Era University,MBA HR,Management,Finance,4,9.7,Research,Online,Government,Urban,Hindi,1
RV College of Engineering,B.Tech Computer Science,Engineering,Mechanical,1,9.54,Job,Online,Private,Rural,Regional,0
Manipal Institute of Technology,B.Tech Civil,Engineering,Mechanical,1,7.9,Research,Regular,Deemed,Urban,Regional,0
IIT Indore,Animation & VFX,Design,UI/UX,5,5.69,Job,Regular,Deemed,Urban,Regional,0
LPU Phagwara,MBA Marketing,Management,Finance,6,7.3,Research,Online,Government,Urban,Hindi,0
IIT Madras,MA English,Arts,Political Science,5,8.63,Job,Online,Deemed,Semi-Urban,Regional,1
SRM University,BA English,Arts,History,7,9.76,Job,Distance,Private,Urban,Regional,1
IIT Kanpur,BA English,Arts,Political Science,7,6.82,Teaching,Online,Private,Urban,Regional,2
DIT University,BBA,Management,Finance,8,8.92,Teaching,Regular,Government,Rural,English,0
IFTM University,MA Psychology,Arts,History,5,8.42,Job,Distance,Private,Rural,Regional,0
KIIT Bhubaneswar,M.Sc Data Science,IT,AI,1,5.39,Teaching,Regular,Private,Semi-Urban,English,0
IIT Kharagpur,B.Ed,Education,Teaching,5,7.79,Job,Regular,Government,Rural,Regional,1
VIT Vellore,Mass Communication,Commerce,Accounting,3,5.92,Job,Regular,Private,Semi-Urban,Hindi,0
Manipal Institute of Technology,BA English,Arts,Political Science,2,8.42,Research,Regular,Government,Urban,English,1
Patna University,MBA Marketing,Management,Finance,2,8.05,Teaching,Regular,Government,Urban,Regional,1
Harvard University,B.Pharma,Medical,Dentistry,5,9.87,Teaching,Distance,Government,Urban,Hindi,0
IIT Bombay,MBBS,Medical,Dentistry,6,9.68,Research,Regular,Deemed,Rural,English,2
IIT BHU,Nursing,General,General Studies,4,5.05,Job,Online,Private,Semi-Urban,Hindi,0
IFTM University,MBA Marketing,Management,HR,7,5.4,Teaching,Distance,Private,Rural,Regional,0
IIT Kanpur,MBA Finance,Management,Marketing,5,8.85,Job,Online,Private,Rural,Regional,1
Osmania University,Nursing,General,General Studies,6,8.43,Teaching,Distance,Government,Semi-Urban,Regional,2
Punjab University,B.Tech Mechanical,Engineering,Mechanical,5,9.0,Teaching,Online,Government,Semi-Urban,Regional,1
Moradabad Institute of Technology (MIT),Mass Communication,Commerce,Banking,1,6.33,Job,Regular,Private,Semi-Urban,English,0
Christ University,B.Des UI/UX,General,General Studies,7,9.25,Job,Online,Private,Urban,English,1
Bennett University,B.Ed,Education,Teaching,7,7.21,Teaching,Regular,Private,Rural,English,1
Punjab University,BBA,Management,Marketing,6,6.31,Research,Distance,Private,Rural,Regional,0
Sharda University,Hotel Management,Management,HR,7,5.05,Research,Regular,Deemed,Urban,Regional,2
PES University,BBA,Management,HR,4,9.36,Research,Online,Government,Semi-Urban,Hindi,1
KIIT Bhubaneswar,B.Sc Data Science,IT,Data Science,5,7.68,Research,Regular,Deemed,Rural,Hindi,0
IIT Roorkee,MBA HR,Management,Finance,3,9.88,Research,Regular,Private,Urban,English,2
Harvard University,B.Sc Data Science,IT,AI,6,8.57,Job,Distance,Government,Rural,Regional,1
University of Cambridge,B.Tech Civil,Engineering,Mechanical,2,5.4,Teaching,Regular,Deemed,Rural,Regional,0
Jadavpur University,B.Ed,Education,Teaching,6,7.94,Research,Distance,Deemed,Rural,Hindi,1
Symbiosis International University,BA Psychology,Arts,History,8,5.09,Teaching,Online,Government,Semi-Urban,English,0
VIT Vellore,Cyber Security Specialization,General,General Studies,3,7.79,Job,Distance,Deemed,Semi-Urban,Regional,0
Sharda University,BCA,IT,AI,7,6.75,Teaching,Online,Private,Rural,Hindi,0
Thapar University,Nursing,General,General Studies,8,8.22,Job,Online,Deemed,Semi-Urban,English,1
Stanford University,MA English,Arts,Political Science,3,7.71,Teaching,Regular,Deemed,Urban,English,1
University of Cambridge,B.Tech Electronics,Engineering,Computer Science,7,6.31,Teaching,Distance,Private,Urban,English,0
Thapar University,B.Des UI/UX,General,General Studies,3,5.81,Job,Online,Private,Rural,Hindi,0
Sharda University,LLM,General,General Studies,4,7.02,Teaching,Regular,Deemed,Urban,Regional,0
University of Oxford,MBBS,Medical,Dentistry,4,9.93,Job,Regular,Private,Semi-Urban,Hindi,2
Thapar University,MBA Finance,Management,HR,6,7.18,Teaching,Online,Government,Semi-Urban,Regional,0
Ashoka University,BA Psychology,Arts,Political Science,8,8.74,Teaching,Regular,Government,Urban,Regional,1
Lucknow University,B.Tech Computer Science,Engineering,Mechanical,4,5.28,Research,Distance,Private,Rural,Regional,0
IIT Roorkee,B.Tech Civil,Engineering,Electrical,2,6.89,Teaching,Online,Private,Urban,English,1
IIT Kanpur,B.Pharma,Medical,General Medicine,8,7.9,Research,Online,Government,Semi-Urban,Regional,2
Aligarh Muslim University,MA English,Arts,English,7,8.76,Research,Regular,Government,Rural,English,2
University of Oxford,PhD Research,Research,Interdisciplinary,1,7.64,Job,Online,Deemed,Semi-Urban,Hindi,0
IIT Guwahati,B.Tech Mechanical,Engineering,Civil,6,7.58,Job,Online,Deemed,Rural,Regional,1
DIT University,B.Tech Electronics,Engineering,Computer Science,5,8.82,Teaching,Online,Deemed,Rural,Hindi,0
Rajasthan University,B.Ed,Education,Teaching,5,6.57,Job,Distance,Deemed,Rural,Hindi,0
Delhi University,Hotel Management,Management,HR,6,5.45,Research,Distance,Government,Semi-Urban,Regional,0
Harvard University,MA Psychology,Arts,Political Science,1,6.74,Teaching,Distance,Government,Rural,Regional,0
UPES Dehradun,PhD Research,Research,Interdisciplinary,5,5.79,Job,Distance,Government,Rural,English,0
RV College of Engineering,B.Tech Electronics,Engineering,Electrical,6,9.83,Job,Regular,Private,Urban,Regional,1
Jamia Millia Islamia,LLB,Law,Corporate Law,6,7.89,Job,Online,Government,Urban,English,1
IFTM University,B.Com,Commerce,Accounting,3,7.23,Research,Distance,Private,Semi-Urban,English,0
BITS Pilani,MA Psychology,Arts,History,2,9.56,Job,Regular,Private,Rural,Regional,0
Graphic Era University,MCA,IT,Software,8,9.5,Teaching,Distance,Private,Urban,Regional,1
Pune University,Animation & VFX,Design,Product Design,5,7.08,Teaching,Regular,Deemed,Semi-Urban,Regional,1
IIT Kanpur,MBA Finance,Management,Finance,2,9.37,Teaching,Distance,Private,Rural,English,1
IIT Kharagpur,LLB,Law,Criminal Law,7,5.32,Research,Distance,Government,Semi-Urban,English,1
Thapar University,PhD Research,Research,Interdisciplinary,6,9.43,Job,Online,Government,Rural,English,1
Galgotias University,B.Pharma,Medical,Dentistry,1,6.55,Teaching,Distance,Government,Urban,English,0
DIT University,MBBS,Medical,Dentistry,6,7.83,Job,Distance,Government,Rural,English,1
Delhi University,Hotel Management,Management,HR,5,6.35,Job,Regular,Government,Urban,Regional,0
Amrita University,MBBS,Medical,Dentistry,2,9.92,Teaching,Online,Government,Rural,English,1
IFTM University,MBBS,Medical,General Medicine,3,5.36,Research,Online,Private,Rural,Regional,0
Pune University,B.Tech Computer Science,Engineering,Mechanical,8,7.23,Teaching,Regular,Government,Urban,English,1
Symbiosis International University,B.Com,Commerce,Banking,3,8.1,Teaching,Distance,Private,Urban,English,0
Harvard University,B.Tech Computer Science,Engineering,Computer Science,6,8.08,Research,Regular,Deemed,Urban,Regional,1
Lucknow University,BBA,Management,Finance,1,8.69,Job,Distance,Government,Semi-Urban,Hindi,1
PES University,B.Tech Mechanical,Engineering,Civil,7,8.62,Job,Distance,Deemed,Urban,Hindi,1
IIT Bombay,B.Tech Computer Science,Engineering,Mechanical,8,8.97,Research,Online,Deemed,Rural,English,2
Sharda University,Animation & VFX,Design,Product Design,4,6.17,Teaching,Distance,Deemed,Semi-Urban,Regional,0
Amrita University,M.Com,Commerce,Accounting,5,6.85,Research,Online,Government,Semi-Urban,Hindi,0
BITS Pilani,LLM,General,General Studies,6,6.91,Teaching,Online,Private,Semi-Urban,Hindi,0
IFTM University,MA English,Arts,English,3,9.78,Research,Regular,Deemed,Semi-Urban,Regional,1
PES University,BA English,Arts,History,3,7.05,Job,Distance,Government,Urban,Hindi,0
Stanford University,PhD Research,Research,Interdisciplinary,1,6.11,Research,Regular,Private,Rural,English,0
DIT University,M.Sc Data Science,IT,Software,3,8.16,Research,Regular,Deemed,Rural,English,1
University of Mumbai,LLB,Law,Criminal Law,5,7.14,Teaching,Regular,Government,Semi-Urban,English,1
Moradabad Institute of Technology (MIT),M.Com,Commerce,Banking,1,6.25,Teaching,Regular,Private,Semi-Urban,Hindi,0
Teerthanker Mahaveer University (TMU),M.Tech AI,Engineering,Computer Science,2,8.58,Teaching,Online,Private,Urban,Regional,0
University of Mumbai,B.Tech Civil,Engineering,Civil,1,5.96,Research,Online,Government,Rural,Regional,0
Teerthanker Mahaveer University (TMU),LLB,Law,Corporate Law,7,8.17,Research,Online,Deemed,Urban,English,1
IIT BHU,MBA Marketing,Management,Marketing,5,7.15,Teaching,Online,Government,Semi-Urban,English,1
Chandigarh University,MA English,Arts,History,7,6.6,Job,Distance,Deemed,Semi-Urban,English,1
IIT Kanpur,M.Des Interaction,General,General Studies,5,9.73,Teaching,Online,Government,Semi-Urban,English,1
PES University,B.Pharma,Medical,General Medicine,2,6.62,Research,Distance,Private,Rural,Hindi,0
IIT Madras,B.Tech Electrical,Engineering,Computer Science,6,6.74,Research,Regular,Private,Rural,English,1
Madras University,LLM,General,General Studies,1,9.35,Teaching,Distance,Private,Semi-Urban,Hindi,1
Patna University,M.Des Interaction,General,General Studies,5,5.65,Teaching,Online,Private,Rural,English,0
University of Cambridge,M.Sc Data Science,IT,AI,5,5.54,Research,Online,Private,Semi-Urban,Regional,0
Ashoka University,B.Tech Mechanical,Engineering,Mechanical,2,6.41,Research,Online,Government,Rural,Hindi,0
Delhi University,M.Tech AI,Engineering,Mechanical,4,7.96,Job,Regular,Government,Rural,Regional,1
UPES Dehradun,MA English,Arts,History,1,6.92,Teaching,Regular,Government,Semi-Urban,Regional,0
Amrita University,BA English,Arts,History,8,8.04,Teaching,Online,Deemed,Rural,Regional,0
IIT BHU,B.Des UI/UX,General,General Studies,5,5.8,Job,Regular,Deemed,Semi-Urban,English,1
Shiv Nadar University,PhD Research,Research,Interdisciplinary,3,6.31,Research,Distance,Private,Urban,Regional,0
PES University,LLB,Law,Criminal Law,2,7.83,Research,Distance,Private,Rural,Regional,2
University of Cambridge,M.Sc Data Science,IT,AI,4,6.09,Job,Distance,Private,Urban,Regional,0
Jamia Millia Islamia,MBA Marketing,Management,Marketing,4,7.11,Teaching,Distance,Deemed,Semi-Urban,Hindi,0
Ashoka University,MBA Finance,Management,HR,2,7.86,Research,Online,Deemed,Semi-Urban,English,0
University of Oxford,B.Sc Data Science,IT,Data Science,4,9.87,Job,Online,Government,Rural,Regional,0
Aligarh Muslim University,B.Tech Electrical,Engineering,Electrical,5,5.4,Job,Distance,Deemed,Rural,English,0
Amity University,M.Des Interaction,General,General Studies,4,7.3,Job,Distance,Private,Rural,Hindi,0
Pune University,Mass Communication,Commerce,Banking,1,6.98,Research,Online,Government,Semi-Urban,English,0
Massachusetts Institute of Technology (MIT USA),B.Tech Electronics,Engineering,Electrical,8,9.12,Research,Regular,Deemed,Rural,Regional,2
Patna University,B.Com,Commerce,Banking,3,9.5,Job,Distance,Government,Urban,English,1
Stanford University,B.Tech Electrical,Engineering,Civil,8,9.54,Job,Regular,Deemed,Rural,English,2
Calcutta University,MCA,IT,Software,8,6.88,Research,Online,Deemed,Semi-Urban,English,1
Thapar University,M.Des Interaction,General,General Studies,5,6.52,Research,Distance,Deemed,Urban,English,0
Chandigarh University,Nursing,General,General Studies,2,7.25,Research,Distance,Private,Urban,English,0
University of Mumbai,B.Pharma,Medical,Dentistry,3,6.72,Research,Regular,Deemed,Rural,Hindi,0
BIT Mesra,B.Tech Computer Science,Engineering,Civil,6,8.59,Research,Regular,Private,Semi-Urban,Regional,2
Madras University,Mass Communication,Commerce,Accounting,5,6.07,Job,Regular,Government,Semi-Urban,English,1
IIT Kharagpur,BA English,Arts,History,3,8.29,Research,Regular,Deemed,Rural,English,2
Jamia Millia Islamia,MBBS,Medical,General Medicine,4,9.63,Research,Distance,Private,Semi-Urban,Regional,1
Thapar University,M.Des Interaction,General,General Studies,6,6.4,Job,Online,Private,Rural,Regional,0
Shiv Nadar University,LLB,Law,Corporate Law,2,8.38,Job,Regular,Government,Semi-Urban,Regional,0
Christ University,PhD Research,Research,Interdisciplinary,2,5.72,Teaching,Regular,Government,Urban,Regional,0
Calcutta University,MBA Marketing,Management,HR,8,5.61,Research,Online,Government,Rural,English,0
Punjab University,B.Tech Civil,Engineering,Mechanical,1,5.58,Teaching,Distance,Deemed,Semi-Urban,Regional,0
Symbiosis International University,Cyber Security Specialization,General,General Studies,4,5.69,Teaching,Online,Deemed,Semi-Urban,Hindi,0
Amrita University,BA Psychology,Arts,History,8,6.08,Job,Online,Government,Rural,English,1
IIT BHU,MBA HR,Management,HR,1,7.81,Job,Regular,Deemed,Urban,Hindi,1
Christ University,LLM,General,General Studies,1,8.83,Teaching,Online,Private,Semi-Urban,Regional,0
IFTM University,BA English,Arts,Political Science,4,5.63,Teaching,Online,Private,Rural,Hindi,0
UPES Dehradun,B.Tech Electrical,Engineering,Mechanical,5,9.35,Teaching,Distance,Deemed,Urban,English,1
IIT Indore,BA Psychology,Arts,English,6,9.21,Teaching,Regular,Deemed,Semi-Urban,English,2
Christ University,B.Tech Mechanical,Engineering,Electrical,7,8.64,Research,Regular,Private,Semi-Urban,English,2
University of Mumbai,B.Com,Commerce,Accounting,1,7.13,Teaching,Regular,Private,Semi-Urban,English,1
Christ University,B.Tech Mechanical,Engineering,Computer Science,3,5.01,Job,Distance,Deemed,Rural,Hindi,0
IIT BHU,BBA,Management,Marketing,6,8.67,Teaching,Distance,Deemed,Rural,English,2
Chandigarh University,B.Des UI/UX,General,General Studies,5,9.39,Teaching,Distance,Government,Rural,English,1
Madras University,M.Sc Data Science,IT,AI,8,6.68,Job,Distance,Government,Urban,English,1
IIT Kharagpur,B.Tech Civil,Engineering,Mechanical,4,8.59,Teaching,Regular,Deemed,Semi-Urban,Regional,1
Jamia Millia Islamia,B.Tech Electronics,Engineering,Mechanical,2,5.31,Job,Regular,Private,Semi-Urban,Hindi,0
Manipal Institute of Technology,B.Tech Civil,Engineering,Computer Science,5,8.55,Research,Online,Deemed,Urban,Regional,1
Banaras Hindu University,MBA Marketing,Management,Finance,8,5.34,Research,Distance,Private,Urban,English,0
Galgotias University,BA Psychology,Arts,History,1,7.94,Job,Online,Deemed,Rural,Regional,0
Moradabad Institute of Technology (MIT),M.Des Interaction,General,General Studies,3,7.99,Research,Distance,Deemed,Semi-Urban,English,0
Stanford University,M.Des Interaction,General,General Studies,8,6.51,Research,Online,Private,Urban,Regional,0
IIT Indore,BA English,Arts,English,6,5.4,Research,Regular,Private,Urban,English,1
